terminal,type,aircode,airname,flightid,gate,date,time,estdate,esttime,location,locationeng,locationcn,status,aircraft,otherport,otherenf,othercn,luggagegate,checkincounter
1,A,CI,中華航空,9802,A8,2018/08/06,09:25:00,2018/08/06,08:58:33,MNL,Manila,馬尼拉,已到ARRIVED,,,,,,
1,A,AK,馬亞洲航空,1510,A9,2018/08/06,09:30:00,2018/08/06,09:25:44,BKI,KotaKinabalu,亞庇,已到ARRIVED,A320,,,,,
1,A,ZE,易斯達航空,881,B2,2018/08/06,09:30:00,2018/08/06,09:18:25,ICN,Incheon,仁川,已到ARRIVED,B737-800,,,,,
1,A,NX,澳門航空,602,B1,2018/08/06,09:50:00,2018/08/06,09:47:17,MFM,Macau,澳門,已到ARRIVED,A320,,,,,","
1,A,KA,國泰港龍,486,B8,2018/08/06,09:50:00,2018/08/06,09:39:14,HKG,HongKong,香港,已到ARRIVED,A330-300,,,,,
1,A,CX,國泰航空,5486,B8,2018/08/06,09:50:00,2018/08/06,09:39:14,HKG,HongKong,香港,已到ARRIVED,,,,,,
2,A,MU,東方航空,2981,D3,2018/08/06,09:50:00,2018/08/06,09:44:46,NKG,Nanjing,南京,已到ARRIVED,A320,,,,,
2,A,AE,華信航空,5008,D3,2018/08/06,09:50:00,2018/08/06,09:44:46,NKG,Nanjing,南京,已到ARRIVED,,,,,,
1,A,Z2,菲亞航,124,A3,2018/08/06,09:55:00,2018/08/06,09:23:07,MNL,Manila,馬尼拉,已到ARRIVED,A320,,,,,
1,A,KE,大韓航空,697,A5,2018/08/06,10:00:00,2018/08/06,09:27:48,PUS,Busan,釜山,已到ARRIVED,B737,,,,,
1,A,CI,中華航空,9697,A5,2018/08/06,10:00:00,2018/08/06,09:27:48,PUS,Busan,釜山,已到ARRIVED,,,,,,
1,A,5J,宿霧航空,312,A6,2018/08/06,10:00:00,2018/08/06,09:42:14,MNL,Manila,馬尼拉,已到ARRIVED,A320,,,,,
1,A,CX,國泰航空,564,B4,2018/08/06,10:00:00,2018/08/06,09:55:01,HKG,HongKong,香港,已到ARRIVED,A350-900,,,,,
1,A,KA,國泰港龍,5564,B4,2018/08/06,10:00:00,2018/08/06,09:55:01,HKG,HongKong,香港,已到ARRIVED,,,,,,
1,A,CI,中華航空,922,D1,2018/08/06,10:00:00,2018/08/06,10:00:00,HKG,HongKong,香港,已到ARRIVED,A330-300,,,,,
1,A,MM,樂桃航空,23,A4,2018/08/06,10:15:00,2018/08/06,09:49:37,KIX,OsakaKansai,大阪/關西,已到ARRIVED,A320,,,,,
1,A,9C,春秋航空,8951,B1R,2018/08/06,10:15:00,2018/08/06,09:36:06,PVG,Shanghai/Pudong,上海/浦東,已到ARRIVED,A320,,,,,
2,A,MU,東方航空,2009,D8,2018/08/06,10:20:00,2018/08/06,09:57:53,NGB,Ningbo,寧波,已到ARRIVED,A320,,,,,","
2,A,AE,華信航空,5004,D8,2018/08/06,10:20:00,2018/08/06,09:57:53,NGB,Ningbo,寧波,已到ARRIVED,,,,,,
2,A,MF,廈門航空,879,C2,2018/08/06,10:25:00,2018/08/06,10:11:47,FOC,Fuzhou,福州,已到ARRIVED,B737,,,,,","
2,A,AE,華信航空,5108,C2,2018/08/06,10:25:00,2018/08/06,10:11:47,FOC,Fuzhou,福州,已到ARRIVED,,,,,,
2,A,MF,廈門航空,887,C3,2018/08/06,10:25:00,2018/08/06,10:19:55,XMN,Xiamen,廈門,已到ARRIVED,B737,,,,,","
2,A,AE,華信航空,5100,C3,2018/08/06,10:25:00,2018/08/06,10:19:55,XMN,Xiamen,廈門,已到ARRIVED,,,,,,
1,A,7C,濟州航空,2601,A1,2018/08/06,10:35:00,2018/08/06,10:40:52,ICN,Incheon,仁川,已到ARRIVED,B737,,,,,","
1,A,IT,台灣虎航,231,B9,2018/08/06,10:40:00,2018/08/06,10:17:25,OKA,Okinawa,琉球(沖繩),已到ARRIVED,A320-232,,,,,
2,A,CI,中華航空,113,D2,2018/08/06,10:40:00,2018/08/06,10:06:00,HIJ,Hiroshima,廣島,已到ARRIVED,B737-800,,,,,","
2,A,JL,日本航空,5119,D2,2018/08/06,10:40:00,2018/08/06,10:06:00,HIJ,Hiroshima,廣島,已到ARRIVED,,,,,,
1,A,CX,國泰航空,530,B5,2018/08/06,10:45:00,2018/08/06,10:36:02,HKG,HongKong,香港,已到ARRIVED,B777-300,,,,,","
1,A,KA,國泰港龍,5530,B5,2018/08/06,10:45:00,2018/08/06,10:36:02,HKG,HongKong,香港,已到ARRIVED,,,,,,
2,A,MU,東方航空,2047,D6,2018/08/06,10:45:00,2018/08/06,10:24:21,KHN,Nanchang,南昌,已到ARRIVED,A320,,,,,
2,A,CI,中華航空,8026,D6,2018/08/06,10:45:00,2018/08/06,10:24:21,KHN,Nanchang,南昌,已到ARRIVED,,,,,,
1,A,CX,國泰航空,421,B6,2018/08/06,10:50:00,2018/08/06,10:08:52,ICN,Incheon,仁川,已到ARRIVED,A330,,,,,
2,A,CZ,南方航空,3023,C6,2018/08/06,10:50:00,2018/08/06,11:02:42,CGO,Zhengzhou,鄭州,已到ARRIVED,B737,,,,,
2,A,AE,華信航空,5994,C6,2018/08/06,10:50:00,2018/08/06,11:02:42,CGO,Zhengzhou,鄭州,已到ARRIVED,,,,,,","
2,A,AE,華信航空,216,A6,2018/08/06,10:55:00,2018/08/06,11:04:00,FOC,Fuzhou,福州,已到ARRIVED,B737-800,,,,,
2,A,MF,廈門航空,9001,A6,2018/08/06,10:55:00,2018/08/06,11:04:00,FOC,Fuzhou,福州,已到ARRIVED,,,,,,
2,A,BR,長榮航空,113,C5R,2018/08/06,10:55:00,2018/08/06,10:29:51,OKA,Okinawa,琉球(沖繩),已到ARRIVED,A321-200,,,,,
2,A,NH,全日本空輸,5835,C5R,2018/08/06,10:55:00,2018/08/06,10:29:51,OKA,Okinawa,琉球(沖繩),已到ARRIVED,,,,,,
2,A,SQ,新加坡航空,5813,C5R,2018/08/06,10:55:00,2018/08/06,10:29:51,OKA,Okinawa,琉球(沖繩),已到ARRIVED,,,,,,
2,A,TG,泰國航空,6371,C5R,2018/08/06,10:55:00,2018/08/06,10:29:51,OKA,Okinawa,琉球(沖繩),已到ARRIVED,,,,,,
2,A,SC,山東航空,4097,D9,2018/08/06,10:55:00,2018/08/06,10:52:06,TNA,Jinan,濟南/遙牆,已到ARRIVED,B737,,,,,
2,A,BR,長榮航空,2719,D9,2018/08/06,10:55:00,2018/08/06,10:52:06,TNA,Jinan,濟南/遙牆,已到ARRIVED,,,,,,
1,A,VJ,越捷航空,940,A3,2018/08/06,11:00:00,2018/08/06,10:55:25,HAN,Hanoi,河內,已到ARRIVED,A321,,,,,","
1,A,JW,香草航空,151,B2,2018/08/06,11:00:00,2018/08/06,10:38:33,FUK,Fukuoka,福岡,已到ARRIVED,A320,,,,,
1,A,IT,台灣虎航,302,B1R,2018/08/06,11:05:00,2018/08/06,10:49:37,MFM,Macau,澳門,已到ARRIVED,A320-232,,,,,","
2,A,JL,日本航空,813,D5,2018/08/06,11:05:00,2018/08/06,10:33:51,KIX,OsakaKansai,大阪/關西,已到ARRIVED,B787-8,,,,,
2,A,CI,中華航空,9913,D5,2018/08/06,11:05:00,2018/08/06,10:33:51,KIX,OsakaKansai,大阪/關西,已到ARRIVED,,,,,,
2,A,HA,夏威夷航空,5407,D5,2018/08/06,11:05:00,2018/08/06,10:33:51,KIX,OsakaKansai,大阪/關西,已到ARRIVED,,,,,,
2,A,MU,東方航空,2049,D4,2018/08/06,11:10:00,2018/08/06,10:46:50,HFE,Hefei,合肥,已到ARRIVED,A320,,,,,",,"
2,A,CI,中華航空,8028,D4,2018/08/06,11:10:00,2018/08/06,10:46:50,HFE,Hefei,合肥,已到ARRIVED,,,,,,","
2,A,HX,香港航空,252,C2,2018/08/06,11:15:00,2018/08/06,11:55:47,HKG,HongKong,香港,已到ARRIVED,A330-300,,,,,","
2,A,BR,長榮航空,2898,C2,2018/08/06,11:15:00,2018/08/06,11:55:47,HKG,HongKong,香港,已到ARRIVED,,,,,,
2,A,CZ,南方航空,3087,D2,2018/08/06,11:15:00,2018/08/06,11:32:38,SZX,Shenzhen,深圳,已到ARRIVED,A330,,,,,
2,A,CI,中華航空,8528,D2,2018/08/06,11:15:00,2018/08/06,11:32:38,SZX,Shenzhen,深圳,已到ARRIVED,,,,,,
2,A,CA,中國國際,149,C4,2018/08/06,11:20:00,2018/08/06,11:00:09,HGH,Hangzhou,杭州,已到ARRIVED,A321,,,,,
2,A,BR,長榮航空,2771,C4,2018/08/06,11:20:00,2018/08/06,11:00:09,HGH,Hangzhou,杭州,已到ARRIVED,,,,,,
2,A,CZ,南方航空,3021,C8,2018/08/06,11:20:00,2018/08/06,10:57:47,KWE,Guiyang,貴陽,已到ARRIVED,B737,,,,,
2,A,CZ,南方航空,3009,A7,2018/08/06,11:30:00,2018/08/06,11:51:40,HRB,Harbin,哈爾濱,已到ARRIVED,A320,,,,,
2,A,OZ,韓亞航空,711,C7,2018/08/06,11:30:00,2018/08/06,11:19:35,ICN,Incheon,仁川,已到ARRIVED,A330-300,,,,,
2,A,BR,長榮航空,2147,C7,2018/08/06,11:30:00,2018/08/06,11:19:35,ICN,Incheon,仁川,已到ARRIVED,,,,,,
2,A,CI,中華航空,159,D7,2018/08/06,11:30:00,2018/08/06,10:43:00,KIX,OsakaKansai,大阪/關西,已到ARRIVED,A330-300,,,,,
2,A,JL,日本航空,5101,D7,2018/08/06,11:30:00,2018/08/06,10:43:00,KIX,OsakaKansai,大阪/關西,已到ARRIVED,,,,,,
2,A,HU,海南航空,7987,D10,2018/08/06,11:35:00,2018/08/06,11:41:45,PEK,Beijing,北京,已到ARRIVED,B737,,,,,","
2,A,BR,長榮航空,892,C3,2018/08/06,11:40:00,2018/08/06,11:38:52,HKG,HongKong,香港,已到ARRIVED,B777-300,,,,,","
2,A,HX,香港航空,1892,C3,2018/08/06,11:40:00,2018/08/06,11:38:52,HKG,HongKong,香港,已到ARRIVED,,,,,,","
1,A,OD,馬印航空,632,A1,2018/08/06,11:45:00,2018/08/06,11:58:14,KUL,KualaLumpur,吉隆坡,已到ARRIVED,B737-900,,,,6,
2,A,JL,日本航空,821,D3,2018/08/06,11:45:00,2018/08/06,11:09:04,NGO,Nagoya,名古屋,已到ARRIVED,B737-800,,,,,
2,A,HA,夏威夷航空,5411,D3,2018/08/06,11:45:00,2018/08/06,11:09:04,NGO,Nagoya,名古屋,已到ARRIVED,,,,,,
2,A,CI,中華航空,9921,D3,2018/08/06,11:45:00,2018/08/06,11:09:04,NGO,Nagoya,名古屋,已到ARRIVED,,,,,,
2,A,CA,中國國際,185,D8,2018/08/06,11:45:00,2018/08/06,12:29:20,PEK,Beijing,北京,已到ARRIVED,A330,,,,,","
2,A,BR,長榮航空,2761,D8,2018/08/06,11:45:00,2018/08/06,12:29:20,PEK,Beijing,北京,已到ARRIVED,,,,,,
1,A,3K,捷星航空,721,A2,2018/08/06,11:50:00,2018/08/06,11:24:04,SIN,Singapore,新加坡,已到ARRIVED,A320,,,,4A,
1,A,QF,澳洲航空,5321,A2,2018/08/06,11:50:00,2018/08/06,11:24:04,SIN,Singapore,新加坡,已到ARRIVED,,,,,,
1,A,HO,吉祥航空,1309,B1,2018/08/06,11:50:00,2018/08/06,11:21:57,PVG,Shanghai/Pudong,上海/浦東,已到ARRIVED,A320,,,,5,
1,A,BR,長榮航空,2731,B1,2018/08/06,11:50:00,2018/08/06,11:21:57,PVG,Shanghai/Pudong,上海/浦東,已到ARRIVED,,,,,,
1,A,TG,泰國航空,634,B8,2018/08/06,11:50:00,2018/08/06,11:53:29,BKK,Bangkok,曼谷(BKK),已到ARRIVED,B777-200,,,,1A,","
1,A,AC,加拿大航空,6136,B8,2018/08/06,11:50:00,2018/08/06,11:53:29,BKK,Bangkok,曼谷(BKK),已到ARRIVED,,,,,,
1,A,BR,長榮航空,2218,B8,2018/08/06,11:50:00,2018/08/06,11:53:29,BKK,Bangkok,曼谷(BKK),已到ARRIVED,,,,,,","
1,A,IT,台灣虎航,241,B1R,2018/08/06,11:55:00,2018/08/06,11:14:15,FUK,Fukuoka,福岡,已到ARRIVED,A320-232,,,,2,
1,A,CX,國泰航空,450,B7,2018/08/06,11:55:00,2018/08/06,11:45:26,HKG,HongKong,香港,已到ARRIVED,B777-300,,,,3B,
1,A,KA,國泰港龍,5450,B7,2018/08/06,11:55:00,2018/08/06,11:45:26,HKG,HongKong,香港,已到ARRIVED,,,,,3B,
1,A,CX,國泰航空,474,B5,2018/08/06,12:00:00,2018/08/06,11:49:29,HKG,HongKong,香港,已到ARRIVED,A330-300,,,,2,
1,A,KA,國泰港龍,5474,B5,2018/08/06,12:00:00,2018/08/06,11:49:29,HKG,HongKong,香港,已到ARRIVED,,,,,2,
1,A,CI,中華航空,602,A4,2018/08/06,12:05:00,2018/08/06,12:12:00,HKG,HongKong,香港,已到ARRIVED,A330-300,,,,5,
